Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
UA,11/15/2022,1998,N876UA,ORD,21:04,20:53,114,95,-11,0,0,0,0,0
UA,11/16/2021,2000,N819UA,ORD,20:51,20:38,111,100,-13,0,0,0,0,0
UA,11/16/2022,604,N811UA,DEN,14:57,15:37,194,201,40,33,0,7,0,0
UA,11/16/2022,1998,N840UA,ORD,21:04,20:54,114,107,-10,0,0,0,0,0
UA,11/17/2019,1643,N802UA,ORD,23:55,00:21,110,105,26,0,0,26,0,0
UA,11/17/2019,2103,N832UA,ORD,14:58,14:39,108,98,-19,0,0,0,0,0
UA,11/17/2021,2000,N819UA,ORD,20:51,20:35,111,100,-16,0,0,0,0,0
UA,11/17/2022,604,N878UA,DEN,14:57,16:04,194,221,67,40,0,27,0,0
UA,11/17/2022,1998,N829UA,ORD,21:04,22:03,114,101,59,0,0,0,0,59
UA,11/18/2019,547,N845UA,ORD,14:58,14:46,108,101,-12,0,0,0,0,0
UA,11/18/2019,1643,N806UA,ORD,20:55,20:45,115,114,-10,0,0,0,0,0
UA,11/18/2021,2000,N847UA,ORD,20:51,20:43,111,104,-8,0,0,0,0,0
UA,11/18/2022,604,N814UA,DEN,14:57,15:20,194,204,23,10,0,10,0,3
UA,11/18/2022,1998,N821UA,ORD,21:04,21:18,114,115,14,0,0,0,0,0
UA,11/19/2019,547,N890UA,ORD,14:58,14:48,108,112,-10,0,0,0,0,0
UA,11/19/2019,1643,N824UA,ORD,20:55,20:31,115,98,-24,0,0,0,0,0
UA,11/19/2021,2000,N891UA,ORD,20:51,20:55,111,110,4,0,0,0,0,0
UA,11/19/2022,604,N896UA,DEN,14:57,15:07,194,196,10,0,0,0,0,0
UA,11/19/2022,1998,N462UA,ORD,22:39,22:48,112,103,9,0,0,0,0,0
UA,11/20/2019,547,N818UA,ORD,14:58,14:45,108,107,-13,0,0,0,0,0
UA,11/20/2019,1643,N818UA,ORD,20:55,20:37,115,100,-18,0,0,0,0,0
UA,11/20/2021,2000,N891UA,ORD,20:51,20:46,111,106,-5,0,0,0,0,0
UA,11/20/2022,604,N814UA,DEN,14:57,14:55,194,192,-2,0,0,0,0,0
UA,11/20/2022,1998,N804UA,ORD,21:04,20:58,114,111,-6,0,0,0,0,0
UA,11/21/2019,547,N827UA,ORD,14:58,14:39,108,95,-19,0,0,0,0,0
UA,11/21/2019,1643,N817UA,ORD,20:55,20:44,115,103,-11,0,0,0,0,0
UA,11/21/2021,2000,N846UA,ORD,20:51,20:26,111,94,-25,0,0,0,0,0
UA,11/21/2022,604,N877UA,DEN,14:57,14:44,194,189,-13,0,0,0,0,0
UA,11/21/2022,1998,N822UA,ORD,21:07,20:47,114,101,-20,0,0,0,0,0
UA,11/22/2019,547,N820UA,ORD,14:58,15:27,108,125,29,0,0,29,0,0
UA,11/22/2019,1643,N895UA,ORD,20:55,20:57,115,120,2,0,0,0,0,0
UA,11/22/2021,2000,N419UA,ORD,20:51,23:25,111,95,154,10,0,0,0,144
UA,11/22/2022,604,N841UA,DEN,14:57,14:58,194,189,1,0,0,0,0,0
UA,11/22/2022,1998,N833UA,ORD,21:07,20:50,114,103,-17,0,0,0,0,0
UA,11/23/2021,2000,N810UA,ORD,20:51,20:48,111,111,-3,0,0,0,0,0
UA,11/23/2022,604,N836UA,DEN,14:57,15:02,194,196,5,0,0,0,0,0
UA,11/23/2022,1998,N830UA,ORD,21:07,20:51,114,105,-16,0,0,0,0,0
UA,11/24/2019,1643,N410UA,ORD,20:55,23:06,115,100,131,131,0,0,0,0
UA,11/24/2019,2103,N410UA,ORD,14:58,14:48,108,99,-10,0,0,0,0,0
UA,11/24/2021,2000,N810UA,ORD,20:51,20:40,111,104,-11,0,0,0,0,0
UA,11/24/2022,451,N890UA,ORD,13:34,13:06,109,90,-28,0,0,0,0,0
UA,11/25/2019,1643,N855UA,ORD,20:55,20:53,115,102,-2,0,0,0,0,0
UA,11/25/2019,2103,N850UA,ORD,15:03,15:06,108,99,3,0,0,0,0,0
UA,11/25/2021,479,N54711,ORD,17:49,17:39,109,100,-10,0,0,0,0,0
UA,11/25/2022,604,N848UA,DEN,14:57,15:01,194,200,4,0,0,0,0,0
UA,11/25/2022,1998,N489UA,ORD,21:07,20:59,114,115,-8,0,0,0,0,0
UA,11/26/2019,1643,N804UA,ORD,23:55,23:49,110,106,-6,0,0,0,0,0
UA,11/26/2019,2103,N824UA,ORD,14:58,14:44,108,97,-14,0,0,0,0,0
UA,11/26/2021,2000,N897UA,ORD,20:51,20:54,111,119,3,0,0,0,0,0
